time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-05-10T03:33:10.710Z,38.8111649,-122.8093338,2.71,2.55,md,38,38,0.01142,0.06,nc,nc73014381,2018-05-10T07:10:03.491Z,"6km NW of The Geysers, CA",earthquake,0.19,0.31,0.15,27,automatic,nc,nc
2018-05-10T03:25:58.160Z,33.4993333,-116.7978333,3.77,1.43,ml,54,31,0.08306,0.21,ci,ci38169928,2018-05-10T03:36:56.450Z,"9km NE of Aguanga, CA",earthquake,0.19,0.64,0.115,26,automatic,ci,ci
2018-05-10T03:17:40.440Z,33.387,-116.9451667,12.18,0.92,ml,9,179,0.2487,0.24,ci,ci38169912,2018-05-10T03:21:16.255Z,"8km WNW of Palomar Observatory, CA",earthquake,1.41,8.73,0.168,7,automatic,ci,ci
2018-05-10T03:16:47.081Z,61.0427,-147.4758,0,1.8,ml,,,,0.7,ak,ak19405258,2018-05-10T03:23:58.749Z,"61km W of Valdez, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-05-10T03:14:37.890Z,34.0263333,-116.7796667,12.6,0.99,ml,34,60,0.02495,0.15,ci,ci38169904,2018-05-10T03:18:12.854Z,"12km N of Cabazon, CA",earthquake,0.25,0.61,0.216,27,automatic,ci,ci
2018-05-10T03:14:32.530Z,38.7996674,-122.7366638,0.47,0.76,md,7,100,0.01641,0.01,nc,nc73014371,2018-05-10T03:16:09.496Z,"3km SSW of Cobb, CA",earthquake,0.43,1.19,0.24,4,automatic,nc,nc
2018-05-10T03:13:35.090Z,19.3886662,-155.0175018,-0.69,1.93,md,11,237,0.04638,0.23,hv,hv70135886,2018-05-10T03:16:50.280Z,"13km SW of Leilani Estates, Hawaii",earthquake,1.3,0.38,0.3,6,automatic,hv,hv
2018-05-10T03:12:56.600Z,33.5263333,-116.7163333,2.63,0.79,ml,31,30,0.04272,0.13,ci,ci38169896,2018-05-10T03:16:40.921Z,"5km SW of Anza, CA",earthquake,0.13,0.19,0.131,26,automatic,ci,ci
2018-05-10T03:12:44.760Z,33.2753333,-117.4621667,7.52,1.42,ml,16,185,0.508,0.24,ci,ci38169888,2018-05-10T03:16:24.421Z,"9km NW of Camp Pendleton South, CA",earthquake,1.14,4.19,0.386,30,automatic,ci,ci
2018-05-10T03:11:55.600Z,38.7999992,-122.7416687,-0.76,2.17,md,20,93,0.01718,0.07,nc,nc73014366,2018-05-10T06:55:01.225Z,"3km NNE of The Geysers, CA",earthquake,0.29,0.67,0.3,7,automatic,nc,nc
2018-05-10T03:11:36.480Z,38.8218346,-122.7935028,2.31,2.72,md,29,36,0.01392,0.05,nc,nc73014361,2018-05-10T06:40:03.146Z,"6km NNW of The Geysers, CA",earthquake,0.21,0.34,0.23,16,automatic,nc,nc
2018-05-10T03:11:11.300Z,33.6116667,-116.6221667,15.24,0.38,ml,20,55,0.02564,0.22,ci,ci38169880,2018-05-10T03:14:52.485Z,"8km NE of Anza, CA",earthquake,0.48,0.53,0.09,10,automatic,ci,ci
2018-05-10T03:10:02.680Z,38.8186684,-122.8014984,1.91,0.89,md,14,64,0.01173,0.04,nc,nc73014356,2018-05-10T03:11:40.588Z,"6km NW of The Geysers, CA",earthquake,0.3,0.56,0.07,5,automatic,nc,nc
2018-05-10T03:09:29.350Z,33.517,-116.74,6.02,0.42,ml,14,157,0.04833,0.2,ci,ci38169872,2018-05-10T03:13:05.419Z,"8km SW of Anza, CA",earthquake,0.59,0.99,0.157,11,automatic,ci,ci
2018-05-10T03:06:51.520Z,38.815834,-122.8036652,3.43,0.8,md,8,110,0.01022,0.04,nc,nc73014351,2018-05-10T03:08:30.374Z,"6km NW of The Geysers, CA",earthquake,0.63,1.61,0.06,3,automatic,nc,nc
2018-05-10T03:05:59.140Z,38.7851677,-122.7344971,1.31,0.87,md,7,99,0.002598,0.03,nc,nc73014346,2018-05-10T03:07:35.403Z,"2km ENE of The Geysers, CA",earthquake,0.57,0.69,0.04,3,automatic,nc,nc
2018-05-10T03:04:56.740Z,38.8121681,-122.8008347,2.93,0.8,md,9,105,0.02148,0.03,nc,nc73014341,2018-05-10T03:06:35.250Z,"6km NW of The Geysers, CA",earthquake,0.39,1.69,0.03,3,automatic,nc,nc
2018-05-10T03:04:31.590Z,38.8023338,-122.8125,1.88,1.07,md,15,99,0.01457,0.05,nc,nc73014336,2018-05-10T03:06:10.526Z,"6km WNW of The Geysers, CA",earthquake,0.28,0.59,0.11,5,automatic,nc,nc
2018-05-10T03:04:20.090Z,38.7985001,-122.8016663,2.54,1.48,md,20,115,0.01068,0.04,nc,nc73014331,2018-05-10T03:17:02.041Z,"5km WNW of The Geysers, CA",earthquake,0.27,0.63,0.16,8,automatic,nc,nc
2018-05-10T03:04:04.400Z,38.8025017,-122.8073349,2.95,0.83,md,7,168,0.01087,0.06,nc,nc73014326,2018-05-10T03:05:40.210Z,"5km WNW of The Geysers, CA",earthquake,0.68,1.03,0.07,3,automatic,nc,nc
2018-05-10T03:02:58.990Z,38.7946663,-122.8030014,1.55,0.98,md,8,121,0.03054,0.03,nc,nc73014316,2018-05-10T03:04:35.189Z,"4km WNW of The Geysers, CA",earthquake,0.61,1.52,0.06,4,automatic,nc,nc
2018-05-10T03:02:08.030Z,38.7955017,-122.7870026,-0.16,0.84,md,7,97,0.002427,0.06,nc,nc73014311,2018-05-10T03:03:45.198Z,"3km NW of The Geysers, CA",earthquake,0.36,0.54,0.08,4,automatic,nc,nc
2018-05-10T03:01:27.730Z,38.7973328,-122.7854996,-0.74,2.19,md,19,99,0.004558,0.05,nc,nc73014306,2018-05-10T06:25:02.061Z,"3km NW of The Geysers, CA",earthquake,0.21,1.06,0.08,9,automatic,nc,nc
2018-05-10T03:00:30.390Z,38.7991676,-122.7806702,-0.7,1.53,md,11,119,0.008236,0.07,nc,nc73014301,2018-05-10T03:09:04.000Z,"3km NW of The Geysers, CA",earthquake,0.23,1.02,0.13,4,automatic,nc,nc
2018-05-10T02:59:56.520Z,38.7971649,-122.7786636,-0.68,2.71,md,16,74,0.008255,0.03,nc,nc73014296,2018-05-10T05:55:00.896Z,"3km NW of The Geysers, CA",earthquake,0.19,0.69,0.34,5,automatic,nc,nc
2018-05-10T02:59:27.510Z,38.7995,-122.7831667,-0.22,4.03,mw,57,38,0.007323,0.08,nc,nc73014286,2018-05-10T07:10:03.874Z,"3km NW of The Geysers, CA",earthquake,0.08,0.18,,5,reviewed,nc,nc
2018-05-10T02:58:30.910Z,38.81,-122.7971667,1.89,4.19,mw,79,34,0.002497,0.1,nc,nc73014276,2018-05-10T07:10:44.627Z,"5km NW of The Geysers, CA",earthquake,0.11,0.17,,4,reviewed,nc,nc
2018-05-10T02:58:19.000Z,33.8631667,-117.8176667,6.95,1.35,ml,32,63,0.0418,0.2,ci,ci38169856,2018-05-10T03:08:51.810Z,"3km S of Yorba Linda, CA",earthquake,0.36,0.8,0.238,27,automatic,ci,ci
2018-05-10T02:51:45.440Z,33.505,-116.793,5.23,0.76,ml,31,35,0.07611,0.19,ci,ci38169848,2018-05-10T02:55:24.778Z,"10km NE of Aguanga, CA",earthquake,0.21,1.12,0.107,27,automatic,ci,ci
2018-05-10T02:47:43.130Z,19.381834,-155.0373383,3.66,2.46,ml,31,192,0.0411,0.36,hv,hv70135861,2018-05-10T02:53:19.430Z,"15km SW of Leilani Estates, Hawaii",earthquake,1.06,1.66,3.7,6,automatic,hv,hv
2018-05-10T02:41:24.420Z,33.503,-116.8035,2.86,2.16,ml,78,28,0.08325,0.21,ci,ci38169824,2018-05-10T02:54:07.153Z,"9km NE of Aguanga, CA",earthquake,0.17,0.75,0.172,26,automatic,ci,ci
2018-05-10T02:38:58.560Z,33.505,-116.7965,6.38,0.24,ml,11,104,0.07794,0.12,ci,ci38169816,2018-05-10T02:42:29.150Z,"9km NE of Aguanga, CA",earthquake,0.49,1.33,0.128,6,automatic,ci,ci
2018-05-10T02:26:56.700Z,38.8243332,-122.8026657,-0.75,1.27,md,13,49,0.01732,0.06,nc,nc73014251,2018-05-10T04:06:02.385Z,"7km NW of The Geysers, CA",earthquake,0.22,1.25,0.12,5,automatic,nc,nc
2018-05-10T02:26:28.250Z,38.8224983,-122.8010025,1.23,0.91,md,8,91,0.01518,0.03,nc,nc73014246,2018-05-10T02:28:03.901Z,"6km NW of The Geysers, CA",earthquake,0.42,2.4,0.05,3,automatic,nc,nc
2018-05-10T02:24:16.090Z,33.5181667,-116.798,4.21,0.17,ml,13,96,0.0692,0.11,ci,ci38169800,2018-05-10T02:27:51.205Z,"10km NE of Aguanga, CA",earthquake,0.26,0.67,0.122,5,automatic,ci,ci
